Time,Action,Data
2015/08/14 12:20:52,Create,"{u'description': u'Make judgments about the mental capacities of a variety of things. We are also running this study with children, and would like to know what adults think as a point of comparison.', u'title': u'Participate in a psychology study about mental capacities', u'url': u'https://web.stanford.edu/~kweisman/GGW-kid/ggw-kid_adult-version/experiment/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'IN', u'approval_percentage': 95}, u'frame_height': 420, u'keywords': u'research, psychology, survey, science, mind', u'auto_approval_delay': u'5 minutes', u'reward': 0.32}"
2015/08/14 12:23:29,Expire,
2015/08/14 12:23:52,Create,"{u'description': u'Make judgments about the mental capacities of a variety of things. We are also running this study with children, and would like to know what adults think as a point of comparison.', u'title': u'Participate in a psychology study about mental capacities', u'url': u'https://web.stanford.edu/~kweisman/GGW-kid/ggw-kid_adult-version/experiment/preview.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'IN', u'approval_percentage': 95}, u'frame_height': 420, u'keywords': u'research, psychology, survey, science, mind', u'auto_approval_delay': u'5 minutes', u'reward': 0.32}"
